Quote,Time to Delivery,Part Type,Status
3,6,OE,Won
12958,26,OE,Lost
922,63,AM,Won
1193,28,AM,Lost
837,18,AM,Won
3966,2,AM,Won
3899,29,OE,Won
5604,14,AM,Lost
4558,59,AM,Lost
1751,12,AM,Lost
3087,14,AM,Lost
3199,3,OE,Lost
3965,9,OE,Lost
175,10,AM,Won
552,41,AM,Won
663,3,AM,Lost
2282,12,AM,Won
4795,31,OE,Won
12290,30,AM,Won
555,7,AM,Lost
1584,13,AM,Won
121,22,AM,Won
6756,17,AM,Lost
689,49,OE,Won
2375,171,AM,Lost
132,50,AM,Won
7936,45,AM,Lost
2696,105,AM,Lost
4872,2,OE,Lost
998,65,OE,Lost
1944,39,AM,Won
12684,2,AM,Won
2982,92,AM,Lost
7353,40,OE,Lost
199,32,AM,Lost
821,18,AM,Won
2158,18,AM,Lost
3228,9,OE,Won
1510,25,AM,Won
476,3,OE,Won
278,30,AM,Won
2832,12,OE,Won
1005,12,AM,Lost
1885,1,AM,Won
2220,40,OE,Won
2062,8,AM,Lost
2915,14,OE,Won
1419,46,OE,Won
1461,1,AM,Won
9597,18,OE,Lost
520,34,AM,Lost
906,32,AM,Won
2764,37,OE,Lost
963,1,AM,Won
1939,7,AM,Lost
88,21,AM,Won
787,2,AM,Lost
660,22,AM,Won
384,137,OE,Lost
1121,6,AM,Won
4627,67,OE,Lost
6324,9,AM,Won
3036,24,OE,Lost
877,16,OE,Lost
2510,42,AM,Won
419,73,AM,Won
1481,39,AM,Lost
56,20,AM,Lost
6596,1,AM,Won
979,58,AM,Lost
777,3,AM,Won
2928,6,OE,Lost
2510,19,AM,Lost
1184,60,AM,Won
4292,5,OE,Lost
523,4,AM,Won
3532,50,AM,Won
1698,15,AM,Won
3441,12,AM,Won
335,33,OE,Won
3567,7,AM,Won
5821,60,OE,Won
90,9,OE,Won
2437,39,AM,Lost
842,28,AM,Won
221,31,AM,Won
3358,1,AM,Lost
599,28,AM,Won
5256,3,AM,Lost
1156,40,OE,Won
1750,8,AM,Won
6755,7,AM,Won
5865,65,OE,Lost
873,6,AM,Lost
1277,8,AM,Won
2734,24,AM,Lost
117,4,AM,Won
1786,47,AM,Won
448,90,AM,Lost
9053,12,OE,Won
493,0,AM,Won
505,15,AM,Lost
237,37,AM,Lost
2212,30,AM,Lost
806,70,AM,Lost
2387,5,AM,Lost
2212,21,OE,Lost
1608,27,OE,Lost
4827,68,AM,Lost
6688,54,AM,Lost
4407,25,OE,Won
1193,38,AM,Won
44,11,OE,Won
2398,8,OE,Lost
822,68,AM,Won
2366,85,AM,Lost
0,28,OE,Lost
6147,11,AM,Lost
231,46,AM,Won
3909,7,AM,Lost
9677,96,AM,Lost
5726,116,AM,Lost
2951,17,OE,Won
3270,6,AM,Won
18,11,AM,Won
1830,37,OE,Lost
6903,64,AM,Won
506,11,AM,Won
2632,80,OE,Lost
4199,54,AM,Won
341,31,AM,Won
4770,71,AM,Lost
5972,29,OE,Lost
671,9,AM,Lost
993,34,AM,Won
3631,5,OE,Lost
547,17,AM,Won
3168,68,OE,Lost
1470,16,OE,Won
1350,57,AM,Won
3822,1,AM,Lost
7401,24,AM,Lost
4439,28,OE,Won
1216,51,AM,Lost
3505,30,AM,Lost
367,66,AM,Won
4961,29,AM,Won
2341,8,AM,Won
4189,55,OE,Lost
768,19,AM,Won
2874,36,AM,Won
4881,31,AM,Lost
16604,48,AM,Won
5765,29,AM,Won
10034,12,OE,Won
1997,26,OE,Lost
1498,13,AM,Won
4536,33,AM,Won
5170,0,AM,Won
50,29,AM,Won
2727,5,AM,Won
207,8,AM,Won
3130,42,AM,Won
266,9,AM,Won
889,46,AM,Won
6883,26,OE,Lost
5837,3,AM,Won
5425,12,AM,Lost
4162,74,AM,Won
10018,23,AM,Lost
631,3,AM,Won
1583,18,AM,Lost
4357,4,AM,Lost
2113,10,OE,Lost
5465,36,AM,Won
16,13,AM,Won
2869,3,AM,Won
1537,24,AM,Won
2648,106,AM,Lost
6020,18,AM,Won
4155,23,AM,Lost
365,83,OE,Lost
1185,26,AM,Won
2231,4,OE,Lost
119,4,AM,Won
2867,3,AM,Won
3350,3,AM,Won
698,66,AM,Lost
2086,4,OE,Won
570,51,AM,Lost
5059,5,AM,Won
3892,20,AM,Won
593,12,AM,Won
387,36,AM,Lost
2857,58,AM,Lost
3352,28,OE,Lost
1390,7,AM,Won
5809,37,OE,Won
1883,37,AM,Lost
2399,29,AM,Lost
6193,9,OE,Won
3737,81,OE,Lost
5197,18,AM,Won
1333,36,AM,Lost
2251,57,AM,Lost
4155,47,OE,Lost
3506,20,AM,Won
2849,16,AM,Lost
1108,14,AM,Won
903,5,AM,Lost
2309,51,OE,Won
414,9,AM,Won
9611,5,OE,Lost
4730,35,AM,Won
20540,22,AM,Lost
1057,8,OE,Won
3340,25,AM,Won
3139,69,AM,Lost
2672,39,AM,Lost
2672,22,OE,Lost
490,30,OE,Won
10997,14,OE,Won
3388,23,AM,Won
3070,30,OE,Lost
894,64,OE,Lost
1268,30,AM,Won
740,22,AM,Won
1313,8,AM,Lost
1481,32,AM,Lost
1432,65,OE,Lost
1369,36,OE,Won
440,63,AM,Won
580,54,OE,Lost
