state,fold,population,household.size,race.pctblack,race.pctwhite,race.pctasian,race.pcthisp,age.pct12to21,age.pct12to29,age.pct16to24,age.pct65up,num.urban,pct.urban,med.income,pct.wage.inc,pct.farmself.inc,pct.inv.inc,pct.socsec.inc,pct.pubasst.inc,pct.retire,med.family.inc,percap.inc,white.percap,black.percap,indian.percap,asian.percap,other.percap,hisp.percap,num.underpov,pct.pop.underpov,pct.less9thgrade,pct.not.hsgrad,pct.bs.ormore,pct.unemployed,pct.employed,pct.employed.manuf,pct.employed.profserv,pct.occup.manuf,pct.occup.mgmtprof,male.pct.divorce,male.pct.nvrmarried,female.pct.divorce,total.pct.divorce,ave.people.per.fam,pct.fam2parents,pct.kids2parents,pct.youngkids2parents,pct.teens2parents,pct.workmom.youngkids,pct.workmom,num.kids.nvrmarried,pct.kids.nvrmarried,num.immig,pct.immig.recent,pct.immig.recent5,pct.immig.recent8,pct.immig.recent10,pct.pop.immig,pct.pop.immig5,pct.pop.immig8,pct.pop.immig10,pct.english.only,pct.no.english.well,pct.fam.hh.large,pct.occup.hh.large,ave.people.per.hh,ave.people.per.ownoccup.hh,ave.people.per.rented.hh,pct.people.ownoccup.hh,pct.people.dense.hh,pct.hh.less3br,med.num.br,num.vacant.house,pct.house.occup,pct.house.ownoccup,pct.house.vacant,pct.house.vacant.6moplus,med.yr.house.built,pct.house.nophone,pct.house.no.plumb,value.ownoccup.house.lowquart,value.ownoccup.med,value.ownoccup.highquart,rent.lowquart,rent.med,rent.highquart,med.rent,med.rent.aspct.hhinc,med.owncost.aspct.hhinc.wmort,med.owncost.as.pct.hhinc.womort,num.in.shelters,num.homeless,pct.foreignborn,pct.born.samestate,pct.samehouse1985,pct.samecity1985,pct.samestate1985,land.area,pop.density,pct.use.publictransit,pct.police.drugunits,violentcrimes.perpop
FL,1,10.29964279,2.34,3.52,95.13,1.03,1.7,10.52,18.8,9.27,22.59,10.29964279,100,32704,64.97,0.48,54.7,41.16,4.52,26.5,37695,18875,19228,8871,10.0398088,10.04897222,9044,19684,7.589841512,6.72,4.72,15.77,26.17,4.21,51.11,8.61,27.27,7.13,37.67,8.39,22.21,11.99,10.31,2.75,76.18,74.95,86.68,78.71,62.3,70.28,5.624017506,1.18,7.494430215,6.73,7.12,9.74,13.69,0.41,0.43,0.59,0.83,91.96,0.7,2.01,1.41,2.32,2.37,2.13,78.76,1.07,43.28,3,7.305188215,89.52,76.93,0.81,27.37,1975,1.73,0.08,71000,91500,128900,335,449,576,544,28.3,21.8,12.7,0,0,6.05,22.65,46.85,70.75,77.44,3.299533728,1137.7,0.570979547,0,142.7
CA,1,11.79891611,2.53,1.45,72.98,21.86,10.07,11.6,25.37,11.61,10.78,11.79891611,100,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,23111,23117,9.964770781,9.901285129,13172,14736,8.823500728,5.15,3.85,12.38,31.23,3.95,67.04,25.49,18.92,6.72,37.65,9.77,32.32,13.42,11.64,3.04,79.26,77.43,92.28,78.84,57.54,66.06,7.104965448,1.37,10.29272165,22.23,32.19,43.13,51.23,4.93,7.14,9.56,11.36,72.79,5.83,4.13,2.82,2.51,2.7,2.27,60.49,6.41,52.31,2,7.746300662,95.79,56.29,1.56,16.65,1961,1.2,0.27,272900,340000,420200,610,740,935,795,26.9,23.1,11.2,0,2.944438979,22.17,41.72,49.81,82.48,85.95,3.104586678,6260.9,0.928219303,4.12,620.53
CA,1,11.09851547,2.59,3.64,82.76,6.32,24.12,11.09,27.2,12.24,10.46,11.09851547,100,42962,81.45,0.5,49.19,21.07,5.3,14.76,49851,20292,21670,12013,9.288226911,9.883233824,9281,9950,8.580918882,8.3,8.12,18.45,27.09,3.82,69.14,16.31,21.5,10.24,29.66,11.56,35,15.3,13.43,3.08,72.39,69.83,83.7,74.85,70.99,73.54,7.240649694,3.48,9.662879887,18.78,29.78,41.39,51.48,4.47,7.09,9.85,12.25,69.2,7.86,7.25,4.67,2.52,2.54,2.51,51.04,10.47,61.71,2,7.211556733,94.96,50.78,0.59,15.81,1961,1.85,0.58,274700,349500,442200,558,670,883,728,28.6,28.2,12,4.521788577,4.836281907,23.8,50.11,46.52,77.2,88.9,3.0301337,3349.1,1.578978705,0,726.59
FL,1,9.230731062,2.46,1.06,97.38,1.04,1.79,9.62,18.03,7.64,23.89,0,0,26654,63.11,0.41,40.44,45.95,3.65,31.45,29464,12165,12077,4231,9.518780498,9.794342105,15112,9763,6.529418838,6.77,7.04,26.53,9.91,5.66,48.43,8.22,19.42,13.47,20.69,8.33,15.28,9.77,9.08,2.74,80.47,75.83,89.36,82,62.3,69.76,4.983606622,1.68,6.327936784,2.5,5.72,10.2,17.35,0.14,0.31,0.56,0.95,94.06,0.44,2.39,1.91,2.46,2.37,2.89,79.15,1.88,52.66,2,6.148468296,89.87,82.22,0.21,25.05,1984,3.16,0.2,56300,68700,87100,394,449,508,557,25.8,22.2,11.5,0,0,5.5,22.88,32.16,52.33,71.28,2.63905733,785.2,0,0,339.96
CA,1,11.0086616,2.75,3.83,79.59,4.42,18.96,14.97,27.56,13.53,10.33,11.0086616,100,37073,79.04,0.7,43.96,22.9,7.29,18.12,43200,17825,19791,11465,9.528794103,9.517015921,8053,9402,8.562740006,8.98,5.71,15.38,31.26,4.78,63.25,9.58,34.83,8.49,37.1,9.38,29.86,14.38,12.03,3.19,75.19,72.29,82.51,78.27,55.46,64.88,6.940222469,2.24,8.74671635,17.3,28.84,40.93,47.86,1.8,3,4.26,4.98,82.36,3.07,6.32,4.45,2.65,2.79,2.45,62.36,5.37,44.97,3,7.094234846,94.81,59.24,1.16,19.35,1971,2.5,0.09,107200,144300,193400,434,527,640,588,26.9,23.5,11.5,4.532599493,3.295836866,10.41,47.86,40.05,70.44,83.84,3.265759411,2398.1,0.31481074,0,727.83
CA,1,10.05319983,3.42,11.49,77.75,6.04,10.46,12.28,31.36,14.01,3.15,10.05319983,100,53710,91.86,0.9,48.86,11.54,4.19,11.37,55924,17056,19305,5883,9.178333576,9.696401881,8011,10668,6.678342115,4.23,1.9,14.13,24.07,3.52,59.36,14.86,16.05,7.69,30.94,13.11,38.1,14.43,13.69,3.2,82.44,80.04,90.2,82.85,66.41,72.22,6.938284484,6.51,7.564757013,7.94,14.83,25.99,32.57,0.66,1.23,2.16,2.7,86.56,1.48,5.32,4.13,2.86,2.96,2.69,67.22,2.59,26.14,3,5.252273428,97.28,65.13,0,11.05,1972,0.6,0.09,207500,240900,304200,702,811,931,884,26.5,26.6,12.3,0,0,8.3,55.25,37.34,59.44,85.53,2.292534757,2618.2,1.137833002,0,251.23
CA,1,10.40043735,2.69,1.08,86.96,6.22,15.45,13.3,27.95,13.44,8.62,10.40043735,100,51253,86.4,0.36,49.51,18.84,3.54,13.79,58187,21407,22025,18108,9.756494529,9.826714494,15469,14209,7.057036982,3.55,4.6,12.59,30.99,3.31,72.58,21.6,21.65,8.8,36.82,8.96,31.27,12.71,10.85,3.15,82.69,79.27,90.91,83.82,58.41,69.6,5.587248658,1.23,8.317033476,14.78,24.07,33.87,39.98,1.84,3,4.22,4.98,83.1,3.36,5.72,4.16,2.68,2.91,2.28,68.99,5.15,45.05,3,6.052089169,96.65,63.51,3.3,16.51,1974,1.28,0.21,205000,264000,332600,602,701,870,749,26.8,23.6,10.8,1.791759469,0,12.45,49.29,48.98,75.79,90.35,2.424802726,3178,0.559615788,0,367.33
FL,1,11.73425938,2.47,29.09,68.24,1.75,3,23.68,42.67,28.84,7.94,11.73425938,100,23453,85.3,0.67,38.24,17.18,4.59,11.89,34764,13247,15763,7676,9.354180942,9.225426009,8050,9096,10.14717855,22.32,5.59,14.48,40.72,5.56,63.45,3.6,33.42,6.23,37.49,9.32,48.87,13.45,11.51,2.93,61.16,57.44,70.74,62.15,72.28,78.45,8.562931083,7.88,8.633374946,24.42,32.56,43.94,52.06,1.1,1.47,1.98,2.34,92.68,0.85,3.55,1.92,2.26,2.48,2.08,49.61,4.27,58.18,2,8.472195825,91.35,45.17,2.24,16.91,1974,3.43,0.27,52100,72400,99000,265,353,449,444,31.2,19.4,12.8,5.003946306,3.433987204,4.5,48.67,34.91,58.18,81.03,4.198704578,1903.4,1.340250423,6.6,1981.45
CA,1,10.59169757,2.8,1.26,77.47,3.07,26.16,13.77,26.89,12.18,9.84,0,0,31671,78.68,1.64,37.06,22.64,10.34,13.9,36935,13854,15269,8174,9.466686564,9.204925739,8487,9389,8.223627176,9.59,10.84,23.84,17.03,7.85,64.24,11.76,26.08,15.54,22.7,10.75,26.88,15.27,13.1,3.2,72.38,68.95,80.12,77.49,65.31,74.67,6.650279049,2.55,8.350193651,13.24,20.95,28.72,36.78,1.41,2.23,3.05,3.91,77.93,5.43,6.49,4.78,2.75,2.81,2.66,58.53,9.71,48,3,6.431331082,95.82,57.19,1.94,23.87,1972,4.04,0.36,101200,131300,164100,350,431,514,484,26.1,21.8,11.4,4.060443011,1.791759469,10.63,60.72,43.89,76.24,90.8,2.351375257,4187.9,0.470003629,0,574.24
CA,1,15.06409309,2.86,13.99,52.83,9.81,39.92,14.46,31.22,15.72,8.96,15.06409309,100,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,22191,11257,9.465137617,9.537916008,6354,7111,13.37515893,18.86,18.4,33,22.96,8.34,61.71,18.43,21.42,15.86,27.29,9.92,43.23,14.61,12.26,3.48,65.54,59.78,74.48,69.13,54.81,60.83,12.26546828,9.32,14.10568901,20.75,32.13,43.01,56.44,7.96,12.32,16.49,21.64,50.09,17.45,14.44,9.19,2.8,2.87,2.76,40.31,22.26,72.02,2,11.32126847,93.65,39.42,2.93,21.03,1959,4.11,0.98,164100,244500,388400,413,544,709,600,30.4,25.3,11.9,8.433376705,8.042378005,38.35,35.47,46.34,81.86,85,6.188674716,7168.1,2.478217662,4.89,2414.77
CA,1,10.56880094,3.66,23.47,52.73,13.48,17.45,20.34,40.78,24.43,5.07,10.56859528,100,28655,86.62,0.29,29.32,16.71,7.86,16.08,30218,10409,11524,10092,9.236982303,9.077380245,7251,7353,8.299037182,12.22,9.54,22.08,14.69,4.37,74.2,6.04,23.32,8.43,18.22,8.48,43.95,13.7,10.62,3.44,76.63,71.38,83.38,81.63,51.79,64.03,7.038783541,5.13,8.846496939,23.83,35.56,44.09,55.69,4.26,6.35,7.88,9.95,73.99,5.54,10.2,8.13,3.1,2.78,3.3,34.08,14.61,54.14,2,6.393590754,94.69,37.99,2.18,12.56,1963,2.85,0.64,116800,150100,186200,458,565,681,630,29.7,24.7,12.3,3.091042453,1.098612289,17.87,30.34,29.96,49.89,57.18,2.312535424,4254.3,1.517322624,0,1085.11
FL,1,9.474625867,2.25,31.3,67.17,0.5,6.09,9.62,20.98,9.8,19.56,9.474625867,100,23269,69.71,0.9,35.81,36.36,6.41,13.41,26628,13006,15955,7066,9.58754317,8.774931387,3018,7267,7.867488569,20.64,13.67,39.4,11.76,8.89,53.53,7.47,21.68,12.04,21.68,16.81,32.88,16.73,16.77,2.83,49.89,42.44,53.59,42.01,62.84,62.39,6.795705775,8.51,7.486613313,11.61,17.67,30.79,37.58,1.59,2.42,4.22,5.14,81.87,2.64,4.68,2.64,2.19,2.1,2.29,53.61,8.7,81.08,2,7.552762084,75.26,55.75,4.41,42.52,1971,8.39,0.53,60600,84500,117300,306,396,498,484,28.3,26.2,13,2.772588722,0.693147181,13.69,29.41,49.25,80.62,85.68,1.840549633,2442.6,1.187843422,0,2649.8
CA,1,10.24626132,2.51,3.23,73.48,21.98,5.77,11.65,26.23,11.54,6.49,10.24626132,100,60462,89.78,0.98,59.72,11.31,2.07,11.54,66991,28399,30694,24563,10.25075842,9.987690824,20609,22960,6.719013154,2.95,1.67,4.96,46.69,3.4,76.17,13.11,19.41,4.32,42.67,10,32.2,13.35,11.7,3.01,82.87,82.17,95.71,83.86,68.43,72.33,4.859812404,0.84,8.755107122,18.83,27.59,35.3,42.83,4.24,6.21,7.95,9.64,74.62,3.38,3.69,2.48,2.5,2.75,2.14,66,3.02,48.93,3,6.28785856,95.43,60.12,0.19,10.24,1975,0,0.34,329500,411700,494300,784,947,1001,969,24.4,27.1,11.7,0,0,22.51,41.41,42.19,67.9,81.19,1.589235205,7232,1.595338988,0,185.69
CA,1,10.06271106,3.37,42.94,31.69,9.6,36.36,16.11,33.41,16.36,5.26,10.06271106,100,29206,84.81,0.43,24.67,18.14,16.44,11.1,31319,9968,11102,10211,9.182969175,9.219795531,6885,6391,8.312135108,17.55,21.02,39.39,15.6,10.6,61.09,19.8,27.79,15.12,19.75,11.75,45.54,18.11,14.87,4.01,56.09,50.69,68.36,69.39,68.06,70.88,7.509883061,10.41,8.859221394,20.69,37.48,49.77,61.86,6.21,11.25,14.94,18.57,59.43,14.8,22.89,15.6,3.31,3.57,3.12,45.01,27.9,69.46,2,5.988961417,94.59,41.71,10.3,37.44,1958,4.77,0.49,129200,159700,190200,431,532,643,586,30.4,24.3,12.9,4.060443011,4.17438727,30.01,41.26,49.67,74.38,87.8,1.280933845,8883,2.238579763,0,2344.56
FL,1,12.54260202,2.44,25.05,70.9,1.35,15,13,27.51,13.44,13.15,12.54260202,100,22772,75.21,0.42,32.56,28.72,9.46,14.7,27662,13277,15785,6841,9.227492431,9.21413317,8192,10142,10.8696726,19.44,11.47,29.37,18.7,6.54,60.13,9.91,23.42,13.4,25.73,15.01,34.1,18.14,16.66,3.01,58.62,51.4,63.27,60.73,63.78,70.03,9.627404616,7.25,10.01198315,8.89,15.67,22.85,35.71,0.71,1.25,1.82,2.84,82.17,3.17,5.15,3.13,2.35,2.46,2.22,57.93,6.03,59.72,2,9.607907708,88.52,55.46,5.31,31.03,1963,10.12,0.71,43000,59000,86800,236,334,416,408,27.2,21.9,13,6.049733455,4.94875989,7.96,44.91,47.85,77.94,84.29,4.732683506,2487.1,1.458615023,4.98,3235.45
CA,1,10.56602087,2.4,10.38,69.22,12.04,19.76,10.37,24.22,11.12,11.95,10.56602087,100,42971,80.82,0.84,51.46,21.08,4.22,13.44,50411,21471,22991,21042,9.586445325,9.884916167,11713,11855,7.841099765,6.68,6.29,15.85,35.03,4.13,67.93,13.71,29.99,7.23,39.76,11.37,36.05,16.73,14.22,2.98,69.39,67.27,82.6,65.9,57.4,67.12,6.650279049,3.27,9.118444357,12.51,19.23,29,39.09,2.94,4.52,6.82,9.19,69.72,5.4,5.11,3.09,2.34,2.37,2.3,56.33,8.5,69.76,2,6.656726524,95.41,55.53,3.99,20.72,1958,0.59,0.44,262800,328900,386100,566,730,932,788,28.5,24,11.4,4.442651256,0,23.51,39.89,53.61,87.45,90.5,1.840549633,7336,1.673351238,0,932.05
CA,1,11.378548,2.67,43.76,36.18,11.83,14.52,13.22,26.57,12.67,10.49,11.378548,100,32165,76.1,0.48,33.3,23.99,15.69,17.29,36657,14630,20133,11156,9.320807825,9.532278933,9976,10696,9.540363285,16.1,9.43,23.31,22.15,9.43,58.46,11.16,26.97,12.34,27.63,13.3,36.25,18.5,16.07,3.22,54.71,49.56,64.48,57.97,60.93,67.87,8.5201887,7.61,9.518853954,14.69,25.29,35.8,49.9,2.29,3.94,5.57,7.77,77.6,5,8.56,5.77,2.63,2.68,2.58,55.41,9.88,60.13,2,7.486613313,94.84,54.47,9.87,26.02,1957,3.37,0.66,101200,144300,194000,371,506,645,566,29.6,24.3,12.1,5.231108617,4.875197323,15.57,50.88,51.11,74.41,91.6,3.45946629,2838.8,2.64900766,16.2,3239.2
CA,1,11.4758257,2.57,1.33,84.31,6.56,20.05,12.14,33.06,15.62,7.44,11.4758257,100,40313,86.31,0.71,40.97,15.87,4.31,10.28,45266,18750,20021,17796,9.42577428,9.59499034,8317,8682,9.061260149,9.17,7.4,16.52,27.26,4.17,74.47,19.19,19.72,9.72,30.69,12.48,42.3,17.63,15,3.08,71.03,67.31,84.89,70.11,65.53,70.72,7.442492723,3.12,9.942131176,21.97,35.55,46.07,58.33,4.74,7.67,9.94,12.58,73.97,8.08,8.6,5.1,2.51,2.6,2.45,41.65,9.87,62.61,2,7.670894831,94.59,40.17,0.7,6.86,1968,1.62,0.5,211300,257000,313900,651,759,921,810,28.6,24.3,11.3,5.420534999,3.295836866,21.57,42.58,38.03,73.97,83.94,2.839078464,5980.4,1.393766376,6.38,448.84
CA,1,9.365376374,2.84,3,84.87,7.18,12.5,13.9,30.28,14.04,8.7,9.365376374,100,45171,85.19,0.9,48.9,18.88,2.3,15.78,47353,19361,19841,11200,9.965757878,9.904137341,14579,13766,6.206575927,4.38,5.09,14.1,29.3,4.24,68.04,16.72,24.11,9.11,35.41,10.67,33.88,15.95,13.42,3.14,72.58,72.9,89.54,81.26,57.82,68.55,5.075173815,2.07,7.260522598,8.58,16.88,30.03,34.53,1.04,2.06,3.66,4.21,82.39,1.42,5.56,3.99,2.74,2.82,2.68,44.41,5.81,52.98,2,5.117993812,96.12,43.23,3.01,12.65,1967,0.8,0.37,237300,296400,371700,670,780,920,829,26.4,20.3,11.4,3.17805383,0,12.18,44.84,44.21,61.48,83,1.648658626,2798.7,0.139761942,0,356.17
CA,1,9.422544303,2.57,0.56,91.22,1.06,8.95,13.44,26.6,12.16,14.06,0,0,19474,64.92,0.66,28.95,29.57,20.02,15.89,22114,9997,10369,3440,8.989569005,8.948975608,5381,6391,7.798523054,20.41,8.65,21.66,10.49,9.88,48.71,21.15,20.09,20.23,17.96,12.78,25.98,19.16,16.23,3.04,63.66,60.99,63.12,69.92,42.35,53.18,5.869296913,3.38,6.466144724,16.36,24.77,32.09,46.73,0.85,1.29,1.67,2.43,91.86,2.75,4.93,3.37,2.47,2.51,2.43,50.99,6.61,59.28,2,5.525452939,95.06,50.21,0.4,33.6,1967,4.53,0.4,49900,59700,74600,224,291,356,356,28.4,21.9,13,3.465735903,1.945910149,5.19,62.02,43.85,71.77,90.59,2.140066163,1641.4,0,0,981.2
